scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2024-01-12,20:16,local,地域,1,埼玉新聞,能登半島地震…倒壊した住宅に残された2人、丸1日かけ救出され心肺停止　30分ごとの余震に悔しさ、必死の救助隊「絶対に見つける」まだ至る所で建物倒壊　2人発見され泣く家族、深々と礼「ありがとうございます」,123,https://news.yahoo.co.jp/articles/fac109bce0eab8bc1f510bb205d5f816b6aeed5d,1/12(金) 16:35
2024-01-12,20:16,local,地域,2,ＳＢＣ信越放送,「この国ってヤジ飛ばしただけで排除されちゃう国なんだ…?」当時の安倍総理にヤジを飛ばして排除、ロシアや中国のニュース映像?それくらい衝撃!「私何の法律に違反してるの…?」表現の自由とは…ドキュメンタリー映画上映へ,65,https://news.yahoo.co.jp/articles/0778188dd071de031b815c0ffa2a0c9593e24860,1/12(金) 18:57
2024-01-12,20:16,local,地域,3,テレビユー山形,下水道から胎児とみられる遺体見つかる　遺体は男の子　流れ着いた可能性も,65,https://news.yahoo.co.jp/articles/4e1702b594870e3c3efe1102c9507329d05c1141,1/12(金) 17:01
2024-01-12,20:16,local,地域,4,BSS山陰放送,「まだベッドも移動できないの?　3年前から言ってるけどね」医師が救急隊員にパワハラも…　「特定行為」指示要請を鳥取県立中央病院が拒否　病院側謝罪,44,https://news.yahoo.co.jp/articles/13ff86dc560649bf38c3a92725d921cff1687da1,1/12(金) 17:42
2024-01-12,20:16,local,地域,5,RBC琉球放送,「民意も聞かず許せない」代執行による埋め立て工事に市民らが抗議　大浦湾では石材の投入が進む,36,https://news.yahoo.co.jp/articles/a051b85d4f29e8c8888dd34e5b93adc9b29370c6,1/12(金) 16:03
2024-01-12,20:16,local,地域,6,琉球新報,「埋め立てを許さない」　沖縄・辺野古で県民集会　大浦湾埋め立て着手に抗議　海上でも「海を殺すな」とシュプレヒコール,33,https://news.yahoo.co.jp/articles/a5c9e57f009a04b1e41262ec2c7c4c48d79c6d69,1/12(金) 17:49
2024-01-12,20:16,local,地域,7,HBCニュース北海道,軽トラックの左前タイヤが脱落　４本のボルトにナット２本が残ったまま…外れたタイヤは50ｍ先の路肩の雪山にぶつかって止まる,33,https://news.yahoo.co.jp/articles/30ad497df9be2a614be77ea9c856f027d2e308c3,1/12(金) 19:04
2024-01-12,20:16,local,地域,8,沖縄タイムス,大浦湾の工事着手に抗議　辺野古で県民集会、県内外900人以上が結集　玉城知事「今こそ力を結集し、辺野古新基地を止めさせましょう」,32,https://news.yahoo.co.jp/articles/ec10c2c819fb00c4c020bac7d6e42325c2afaee3,1/12(金) 11:27
2024-01-12,20:16,local,地域,9,静岡放送（SBS）,「まったく理解できない 10年先でもいいはあり得ない」静岡市長　川勝知事の「リニア開業2037年に間に合えばいい」論を痛烈批判,32,https://news.yahoo.co.jp/articles/4134f3c5fc8fe887153e87c0db1533e1c59b4845,1/12(金) 15:03
2024-01-12,20:16,local,地域,10,Daiichi-TV（静岡第一テレビ）,【リニア】川勝知事「２０３７年までに解決図る」発言を静岡市長が痛烈批判「行政責任者としてあり得ない」（静岡県）,31,https://news.yahoo.co.jp/articles/554b288700598730bbb5da95f2a2eedd058f0bf1,1/12(金) 17:54
2024-01-12,20:16,local,地域,11,読売テレビ,会場には椅子もなく…架空の政治資金パーティー開催か　維新が村山祥栄氏の推薦取り消しへ　京都市長選,30,https://news.yahoo.co.jp/articles/fdca3e304b64d0dee58dffbb8f5c96912914b8ff,1/12(金) 18:47
2024-01-12,20:16,local,地域,12,読売テレビ,【速報】万博協会　会場への食品の持ち込み禁止発表　吉村知事は苦言「参加者の気持ちになって考えて」,29,https://news.yahoo.co.jp/articles/56b9fb95d78ea7d6e1c14c42768ae6dd7370b7ae,1/12(金) 14:00
2024-01-12,20:16,local,地域,13,RKB毎日放送,松尾潔・有名人の募金「売名」批判に苦言“杉良太郎の言葉”を紹介,22,https://news.yahoo.co.jp/articles/aedccf58cf63976f2a134d3ab96c14018dd63bfa,1/12(金) 15:40
2024-01-12,20:16,local,地域,14,FBS福岡放送,「黙るか殴られるか選びなさい」生徒の顔を複数回殴った暴行の疑い　中学校講師を書類送検　福岡,21,https://news.yahoo.co.jp/articles/348478ab07201309b13b2996bd56e3af0715ffbb,1/12(金) 19:01
2024-01-12,20:16,local,地域,15,河北新報,「尿入りボトル」の投げ捨てやめて　国交省が標識設置へ　宮城・越河の国道4号など,21,https://news.yahoo.co.jp/articles/b87c6f3024b420bcd7a72ba042990cc5a5271096,1/12(金) 17:20
2024-01-12,20:16,local,地域,16,神戸新聞NEXT,「ユニクロ神戸元町店」2月11日を最後に閉店　大丸神戸店向かいの一等地、後継テナントは未定,20,https://news.yahoo.co.jp/articles/6d70f7c966a16461f9855e6d524df00f04018940,1/12(金) 17:51
2024-01-12,20:16,local,地域,17,ミヤギテレビ,【ドラレコ映像】朝ラッシュ時の交差点　右折車と直進車が衝突　5人搬送＜仙台・泉区＞,19,https://news.yahoo.co.jp/articles/c2052f9249b74890d85ac2a7104d20d95a07a6b9,1/12(金) 14:26
2024-01-12,20:16,local,地域,18,TNCテレビ西日本,「黙るか、殴られるか、選びなさい」　生徒の顔を殴った疑い　中学校の男性講師を書類送検　福岡・篠栗町,19,https://news.yahoo.co.jp/articles/e5789a4f1b451ad2edca9c1a8cbed293530f9938,1/12(金) 11:53
2024-01-12,20:16,local,地域,19,tbc東北放送,"「私どもはお客様に言えません、300円くださいとは」市独自の""宿泊税導入""に旅館関係者から待ったの声　仙台",18,https://news.yahoo.co.jp/articles/bddc2cea755cafbcbb326619e9ec2b4ae93e6266,1/12(金) 19:34
2024-01-12,20:16,local,地域,20,沖縄テレビOTV,「辺野古に南部土砂使わせない」遺骨収集ボランティア決意新たに,17,https://news.yahoo.co.jp/articles/f1ea7727ffb6b274e6fb7c56845a41bcc6315720,1/12(金) 18:59
2024-01-12,20:16,local,地域,21,中京テレビＮＥＷＳ,“鉄道写真を撮るのに邪魔”　線路を区切るロープを切ったなどとして「撮り鉄」3人が逮捕,17,https://news.yahoo.co.jp/articles/39d476299f0d2891f5a9be2bdc3083217574a2f2,1/12(金) 11:11
