scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2024-02-03,10:15,life,ライフ,1,日刊ゲンダイDIGITAL,悠仁さま“トンボの論文”で東大推薦入学に動き出す…「手助けする人がいるのは公平か」の指摘,467,https://news.yahoo.co.jp/articles/faa6132ce06dbbf51f7af1d2761dd54a2a6a9529,2/3(土) 9:06
2024-02-03,10:15,life,ライフ,2,Hint-Pot,「東大出てないのに、俺に教える資格あるんですか？」　予備校講師の返答に称賛の声　「返しが完璧ですね」,100,https://news.yahoo.co.jp/articles/24079a7ed7070dbceafefe3707d7904aa24c125c,2/3(土) 9:10
2024-02-03,10:15,life,ライフ,3,オトナンサー,捨てるのがもったいない…スーパーの従業員が売れ残りの「弁当」「総菜」を無断持ち帰り　法的リスクは？　弁護士に聞いてみた,48,https://news.yahoo.co.jp/articles/5951ccdaf540f4864c7b591431150b74c4a670c8,2/3(土) 6:10
2024-02-03,10:15,life,ライフ,4,現代ビジネス,「水着持ってきた？」夫の「自分すぎるペース」に振り回され…これは発達障害なのか,28,https://news.yahoo.co.jp/articles/cf6481053ac4524c7b52d4b04e46094045644eb1,2/3(土) 7:03
2024-02-03,10:15,life,ライフ,5,FASHIONSNAP,「アメリカンイーグル」が国内店舗を全店閉鎖、実店舗復活からわずか1年で,27,https://news.yahoo.co.jp/articles/a3eb83d76f38323fcee9d36674de98d5d4fdd73b,2/2(金) 16:52
2024-02-03,10:15,life,ライフ,6,日刊ゲンダイDIGITAL,中高年の筋トレ「脳も元気になる」適度な方法とは…プロレスのドクター40年以上の医師が説く,26,https://news.yahoo.co.jp/articles/15951185cb3bcaa2b4d15345cdb1a13a8c905f43,2/3(土) 9:06
2024-02-03,10:15,life,ライフ,7,FNNプライムオンライン,ビリギャル、いよいよコロンビア大学院修了へ　「日本を世界一幸せな子どもが育つ国にするには」,24,https://news.yahoo.co.jp/articles/9b3e6c1753a10ebc531fcf69598e532cc1a36220,2/2(金) 11:33
2024-02-03,10:15,life,ライフ,8,週刊SPA!,アンチも多いマクドナルド。それでも“絶対的な王者”として君臨し続ける納得の理由,23,https://news.yahoo.co.jp/articles/69479975c567c55894c95d5576c9ff6d21350a76,2/3(土) 8:53
2024-02-03,10:15,life,ライフ,9,ENCOUNT,「介護士だって人間なんです」　高齢者への虐待は「絶対ダメ」でも…　転職して分かった33歳女性の複雑胸中,20,https://news.yahoo.co.jp/articles/b39a5b3cd5331e2a80cef23082945cd833ff382f,2/3(土) 9:30
2024-02-03,10:15,life,ライフ,10,THE GOLD ONLINE（ゴールドオンライン）,男は短命だから年金の繰上げ受給がお得だよ…年金「月12万円」を受け取る60歳定年サラリーマン、自らの選択を後悔するワケ,20,https://news.yahoo.co.jp/articles/8bce467e065f576b357196bb887ee416ff6f9492,2/3(土) 5:02
2024-02-03,10:15,life,ライフ,11,FORZA STYLE,「ちんちくりんオジサンは、これが原因だった…」ダサオジとイケオジを分ける「帽子のNG」があった。,19,https://news.yahoo.co.jp/articles/b913780382d6f1f34fa14d5cb265f655d6f5b950,2/3(土) 8:18
2024-02-03,10:15,life,ライフ,12,FORZA STYLE,老後の2000万なんて余裕→アッという間に借金300万。自分を「小金持ち」と信じていた老夫婦の「信じられない誤算」,16,https://news.yahoo.co.jp/articles/79daa26e4f131e9a8843db3dbc8bd104245d5987,2/3(土) 8:46
2024-02-03,10:15,life,ライフ,13,日刊ゲンダイDIGITAL,「裏金1542万円」の自民・世耕弘成氏は生活保護費削減の“旗振り役”だった…SNSで批判殺到,14,https://news.yahoo.co.jp/articles/d8a7434315b5b84e8f1a7e3c08c6982dbea0efca,2/2(金) 14:55
2024-02-03,10:15,life,ライフ,14,BRAVO MOUNTAIN,「やってはいけない」初ソロ登山で「遭難未遂を招いた」危険すぎる最悪コンボ,14,https://news.yahoo.co.jp/articles/d2fce8e280ccc51205b733694ffbdd275a255a93,2/3(土) 8:09
2024-02-03,10:15,life,ライフ,15,ねとらぼ,【50代が選ぶ】「ネームバリューが一番強いと思うGMARCHの大学」ランキング！　2位は「明治大学」、1位は？,12,https://news.yahoo.co.jp/articles/5a22d8495d68bbae98da1546a8a3339f99538c2b,2/3(土) 7:30
2024-02-03,10:15,life,ライフ,16,よろず～ニュース,「従業員も水分補給をさせていただいております」まさか!?スーパーマーケットのクレーマー対策が物議,12,https://news.yahoo.co.jp/articles/974c0d251a0e25228f703ea3371027638696abdf,2/2(金) 11:00
2024-02-03,10:15,life,ライフ,17,日刊ゲンダイDIGITAL,見栄晴さんは治療で活動休止…咽頭がん「ステージ4」でも完治の可能性【Dr.中川 がんサバイバーの知恵】,11,https://news.yahoo.co.jp/articles/5ecefd5f4c8a8216e9771b9da094cab0fcbdcd3f,2/3(土) 9:06
2024-02-03,10:15,life,ライフ,18,現代ビジネス,高血圧者に衝撃…血圧がたった1ヵ月で「142から133」になった、その「驚きの方法」の中身,11,https://news.yahoo.co.jp/articles/474e7c71c8abaa1b990fa11fe2a84ee6697f51c7,2/3(土) 7:33
