scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2024-06-30,08:06,TTL,総合,1,文春オンライン,「正直何も思ってなかった」自慰行為強要、わいせつ画像拡散のイジメ加害生徒らを直撃【旭川14歳女子凍死】《調査結果公表へ》,298,https://news.yahoo.co.jp/articles/2c06173556788cf46fb1c5e949ac3662c6d1a021,6/30(日) 6:12
2024-06-30,08:06,TTL,総合,2,朝日新聞デジタル,小学校2校で教諭のミスでプールの水が流出　学校長、損失負担の意向,241,https://news.yahoo.co.jp/articles/fa4c80cc6051a97eac1dc37f15891ff2e0cbddb9,6/29(土) 10:45
2024-06-30,08:06,TTL,総合,3,テレビ朝日系（ANN）,【賛否】人気ラーメン店「イヤホンやめて」SNS投稿　片手でゲーム…回転率はダウン,231,https://news.yahoo.co.jp/articles/b2ea8a39d6ec321cef71e6467f3a9c6de35ba5cd,6/29(土) 11:46
2024-06-30,08:06,TTL,総合,4,NBS長野放送,粗大ごみの中から現金9万円　警察に届け出ず処理施設の職員たちが焼き肉店での飲食に使用　見つけた現金で菓子やジュース購入…習慣化　広域連合が処分や指導,216,https://news.yahoo.co.jp/articles/3e7a768c66b61dd3dc1fe4efaf15efca568b9bd7,6/29(土) 11:50
2024-06-30,08:06,TTL,総合,5,SmartFLASH,大阪府民は厳しい評価「おもんない」非関西系芸人ランキング… 爆笑問題、マヂラブを抑えた1位は？,158,https://news.yahoo.co.jp/articles/bd51e2edc25982a98a4218273a294d81bdc67623,6/30(日) 6:00
2024-06-30,08:06,TTL,総合,6,スポニチアネックス,蓮舫氏「都民投票」の新公約　神宮外苑再開発で有権者と交流、否定意見多数　小池氏を“リング”に上げる,146,https://news.yahoo.co.jp/articles/40b99e314cd5e5122982f4dda5b47e08b405646b,6/30(日) 4:40
2024-06-30,08:06,TTL,総合,7,時事通信,蓮舫氏、政権批判票狙う　立・共共闘、衆院選に影　東京都知事選,129,https://news.yahoo.co.jp/articles/0d4680dbe786aff0c06292facccc7de5d51295e0,6/30(日) 7:05
2024-06-30,08:06,TTL,総合,8,スポニチアネックス,立花孝志氏、三浦春馬さん無断使用ポスター問題　YouTubeで釈明「言い訳にはなりますが…」,128,https://news.yahoo.co.jp/articles/2084bd283d41ba84f899125f3ab9538830a525e3,6/29(土) 18:47
2024-06-30,08:06,TTL,総合,9,HBCニュース北海道,瑠奈被告「私の首を絞めることが責任だ」父親「私は誰も殺しません。私にはできません」約３年間の“狂乱”の音声データ、証拠として提出…犯行認識は「おじさんの頭を持って帰ってきた」の後、娘に従うしかなかった関係を父親証言へ　ススキノ首切断事件,116,https://news.yahoo.co.jp/articles/5db774565c7421a06ae99430d90b2a13e98a8655,6/30(日) 7:03
2024-06-30,08:06,TTL,総合,10,FRIDAY,松本人志「とうとう出たね」の週刊女性が被害女性「告発するつもりなかった」続報で“vs文春”場外戦,116,https://news.yahoo.co.jp/articles/9928636803383e50488bdb3e6070d486b004f0f5,6/29(土) 11:00
2024-06-30,08:06,TTL,総合,11,女子SPA！,「女子トイレや婦人科に男の子を連れて来ないで」“男児ヘイト”に悩む男児ママたち,115,https://news.yahoo.co.jp/articles/c0e50a1287aa610840ac108a70f836f45aaa6f44,6/29(土) 8:44
2024-06-30,08:06,TTL,総合,12,現代ビジネス,円安が怖すぎて…日本から海外への留学生数がもはや「韓国のたった4分の1」に低落！絶望的に開いていく日韓の「能力格差」,102,https://news.yahoo.co.jp/articles/55c8d36e3c10572b8d5f08ceeaa044d90537666e,6/30(日) 6:04
2024-06-30,08:06,TTL,総合,13,中日スポーツ,【中日】立浪監督が和田コーチが「思い切りやって」10試合連続2得点以下の打線に要求　不名誉なチーム記録にリーチ,98,https://news.yahoo.co.jp/articles/40993474d84444b43ca862a7b9bdf020f6570eff,6/30(日) 5:45
2024-06-30,08:06,TTL,総合,14,TBS NEWS DIG Powered by JNN,クルド人と過激ヘイト 「仮放免者にも就労を」 川口市で見えた外国人政策の課題【報道特集】,94,https://news.yahoo.co.jp/articles/a918db3edb2478cef41a94a2e481838a4014a11d,6/30(日) 7:32
2024-06-30,08:06,TTL,総合,15,日刊ゲンダイDIGITAL,悠仁さま「東大合格」の逆風になりかねない宮内庁“3年前の痛恨ミス”…トンボ論文の信頼性に影響も【秋篠宮家の学校選び】,89,https://news.yahoo.co.jp/articles/0b3c3014c424119a20ecfcaa99df784d2a9edb99,6/29(土) 9:06
2024-06-30,08:06,TTL,総合,16,文春オンライン,「死ぬから画像を消してください」旭川14歳女子死亡“ウッペツ川飛び込み”イジメ事件の全貌《調査結果公表へ》,87,https://news.yahoo.co.jp/articles/c4cc6a6998661b779f5abab6d4312da43bbfb190,6/30(日) 6:12
2024-06-30,08:06,TTL,総合,17,ダイヤモンド・オンライン,映画館で予約した席になぜか先客「空いてる席に座ればいいじゃん」とナメくさった返事→何と返すのが大人の対応？,83,https://news.yahoo.co.jp/articles/3b2c40ccd16b870d7641f7f6f174c8febf909b9c,6/30(日) 6:02
2024-06-30,08:06,TTL,総合,18,デイリースポーツ,橋下徹氏　大阪万博「不満の人はチケット全額払い戻し！倍返し！」吉村知事に迫る「言い切らないと」開幕日間違えるミスも,82,https://news.yahoo.co.jp/articles/a6951003821251d9f20fff6cbf558a89a0977b50,6/29(土) 19:09
2024-06-30,08:06,TTL,総合,19,オートスポーツweb,角田裕毅に4万ユーロの罰金。F1オーストリアGP予選中の暴言で国際スポーツ競技規則に違反,77,https://news.yahoo.co.jp/articles/3e17d5ccebc4bc4d737f0346ea19c3af8c8d8df9,6/30(日) 5:39
2024-06-30,08:06,TTL,総合,20,デイリースポーツ,敗戦の巨人・阿部監督　ついに４番・岡本和真の打順変更を示唆「あそこで切れてしまうのが多々あるんで」,75,https://news.yahoo.co.jp/articles/af3da067b75540b536996d6582e76db0b2d4ba77,6/29(土) 17:02
2024-06-30,08:06,TTL,総合,21,FNNプライムオンライン（フジテレビ系）,蓮舫氏演説会場で暴行　59歳の男を現行犯逮捕　抗議活動中に男性の手殴る,75,https://news.yahoo.co.jp/articles/43a9b61d013d826e9c11b8d2a358cae6973ba5d2,6/30(日) 1:22
2024-06-30,08:06,TTL,総合,22,日テレNEWS NNN,フランス総選挙　極右政党躍進か…背景に何が,74,https://news.yahoo.co.jp/articles/06c8ae707fc3b0e28d3555a1987c70012dac4a3a,6/29(土) 17:44
