scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-02-28,13:09,it-science,IT・科学,1,ITmedia NEWS,「パルワールド」のポケットペア、28日を特別休暇に　電ファミ編集部は有給取得推奨日,37,https://news.yahoo.co.jp/articles/14d96b1a9537044baa30575ea29860b0859324f0,2/27(木) 22:41
2025-02-28,13:09,it-science,IT・科学,2,ITmedia NEWS,松竹、BS放送事業から撤退　「広告売上が伸びず、これ以上の継続は困難」,33,https://news.yahoo.co.jp/articles/1b8870ef1273744a8155d16e170d2209957f1ef1,2/27(木) 17:42
2025-02-28,13:09,it-science,IT・科学,3,ITmedia Mobile,楽天モバイルが「iPhone 16e」を値下げ　一括価格が“4キャリア最安”に、MNPでのポイント還元もアップ,29,https://news.yahoo.co.jp/articles/099dbf8f0c2cebd142be8079939cafe2ea43ec1a,2/28(金) 11:48
2025-02-28,13:09,it-science,IT・科学,4,ITmedia PC USER,激安とはいえない廉価スマホ「iPhone 16e」を使って分かった本質的価値　Appleの“次の時代”を見据えた一手か,21,https://news.yahoo.co.jp/articles/7e5c1f92e2545147a43e219a6c68b61de26fc4f5,2/28(金) 6:05
2025-02-28,13:09,it-science,IT・科学,5,ITmedia NEWS,日本の“お株”が奪われる？――躍進する「中国産アニメ」のいま　国内勢はどう立ち向かうべきか,17,https://news.yahoo.co.jp/articles/66ffd2c5f343bac90a6e0556b24cff426c2ce148,2/28(金) 12:40
2025-02-28,13:09,it-science,IT・科学,6,PC Watch,「177」の電話天気予報サービス終了まであと1カ月。70年の歴史に幕,11,https://news.yahoo.co.jp/articles/bdef260b27f9be1c448cf2f573502a0682550248,2/28(金) 11:16
2025-02-28,13:09,it-science,IT・科学,7,JBpress,小惑星が本当に地球と衝突するとしたら、人類に対抗する術はないのか？,10,https://news.yahoo.co.jp/articles/36f6ba64318f0beaf18e1a77bf36ae4009d84969,2/28(金) 12:02
2025-02-28,13:09,it-science,IT・科学,8,ITmedia NEWS,「WOWOW 4K」きょう放送終了　BS左旋は4月から「NHK BS8K」のみに,10,https://news.yahoo.co.jp/articles/ce40725db6e9f6226fd9d8346b107d825a7f1efc,2/28(金) 11:58
2025-02-28,13:09,it-science,IT・科学,9,CNET Japan,楽天モバイル「当社からIDやパスワードが流出した事実は確認されていない」--不正契約で声明,10,https://news.yahoo.co.jp/articles/526d006391664c884b86df83d680b30018fff23d,2/28(金) 9:47
2025-02-28,13:09,it-science,IT・科学,10,読売新聞（ヨミドクター）,高額療養費制度の見直し問題　自己負担額増がもたらすものは何か…国民皆保険制度の根幹が揺らぐ？,9,https://news.yahoo.co.jp/articles/6502263e2ed22878b01117f5aee97ef06d47306d,2/28(金) 12:30
2025-02-28,13:09,it-science,IT・科学,11,読売新聞（ヨミドクター）,発達障害の息子も、高学歴なら将来は安心・安全なのか？　ビジネスパーソンに必要なスキル獲得のハードル,9,https://news.yahoo.co.jp/articles/0ad402197127485d5b9cd50eb82d15903cd13d25,2/28(金) 11:40
2025-02-28,13:09,it-science,IT・科学,12,CNET Japan,「PlayStation VR 2」が大幅値下げ、3/10から6万6980円に--さっそく買うべき？,8,https://news.yahoo.co.jp/articles/e3ed64315752ee2fe20f7a4fb31614d1c1551e1f,2/28(金) 9:23
