scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-12-30,07:08,world,国際,1,産経新聞,30日の中国軍事演習で国際線の10万人超に影響へ　台湾当局「国際規範への重大な違反」,215,https://news.yahoo.co.jp/articles/b79ff4f667081a0675e4be9c340a61c447f9c131,12/29(月) 22:12
2025-12-30,07:08,world,国際,2,TBS NEWS DIG Powered by JNN,【速報】中国軍　台湾周辺で軍事演習行うと発表 「台湾独立勢力と外部干渉勢力への厳重な警告」　頼清徳政権と高市総理「台湾有事」発言をけん制か,142,https://news.yahoo.co.jp/articles/8c2559d9d942efef430a306b2eaaac3e12b71e14,12/29(月) 9:12
2025-12-30,07:08,world,国際,3,時事通信,台湾当局「中国に幻想抱くな」　交流後に軍事演習,75,https://news.yahoo.co.jp/articles/490075d470d9351aa4865f576493f1058d727499,12/29(月) 18:46
2025-12-30,07:08,world,国際,4,共同通信,安全の保証「30～50年間」に　ゼレンスキー氏、米に要望,69,https://news.yahoo.co.jp/articles/801c29d7c6ad8440a6daccc4cabc29b4b496385a,12/29(月) 19:34
2025-12-30,07:08,world,国際,5,TBS NEWS DIG Powered by JNN,中国外務省報道官　台湾周辺での軍事演習について「国家主権を守る行動」と正当化,48,https://news.yahoo.co.jp/articles/6f1f9754683ccbf9ff9cc72a4fcc08d85ab4b0a9,12/29(月) 18:05
2025-12-30,07:08,world,国際,6,読売新聞オンライン,中国が建造進める４隻目の空母、初の原子力空母か…原子炉格納容器のようなもの確認,47,https://news.yahoo.co.jp/articles/54ebb5c405120e8048a692cb46d16bdfcea4262e,12/29(月) 22:02
2025-12-30,07:08,world,国際,7,ＡＦＰ＝時事,台湾、中国の軍事演習を「威圧」と非難 軍は部隊展開,45,https://news.yahoo.co.jp/articles/f97550459582f656ea89bd2ec4edb109d961f8b0,12/29(月) 12:02
2025-12-30,07:08,world,国際,8,テレビ朝日系（ANN）,アメリカ・ウクライナ首脳会談が終了　領土問題などで合意に至らず,33,https://news.yahoo.co.jp/articles/21ac140375f12f1b56bbf209fb030dbd92dd63f7,12/29(月) 7:35
2025-12-30,07:08,world,国際,9,読売新聞オンライン,ロシア外相、「日本の指導部は軍事化を加速」とけん制…台湾有事については「発生したら中国支持」,33,https://news.yahoo.co.jp/articles/75bc6283cb55f9c7cb0739bef543f6532dc853ce,12/29(月) 7:26
2025-12-30,07:08,world,国際,10,TBS NEWS DIG Powered by JNN,ロシア「ウクライナがプーチン氏公邸に攻撃」「トランプ氏も憤慨」　ウクライナ側は否定,33,https://news.yahoo.co.jp/articles/22ed5ba4a8e650be1f92ff58f018209a386472a9,12/30(火) 4:36
